Company,Industry,Ownership,Location,Ratings,Founded,Cities,Reviews,Employee_Count,Salary,Interviews,Jobs
TCS,IT Services & Consulting ,Public,Chennai,3,56,348,77000, 1 Lakh+ ,869999,8100,1100
Accenture,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,35,180,48100, 1 Lakh+ ,590000,5900,34600
Cognizant,IT Services & Consulting ,Forbes Global 2000,Chennai,3,30,175,43400, 1 Lakh+ ,570000,4600,0
Wipro,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,79,278,41300, 1 Lakh+ ,430000,4500,884
Capgemini,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,57,145,35600, 1 Lakh+ ,430000,3800,0
Infosys,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,43,183,33400, 1 Lakh+ ,470000,6000,1200
Genpact,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,27,118,27000, 1 Lakh+ ,200000,2500,0
HCLTech,IT Services & Consulting ,Public,Chennai,3,33,184,30000, 1 Lakh+ ,310000,3100,0
IBM,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,113,149,19900, 1 Lakh+ ,220000,1900,3300
Concentrix Corporation,BPO ,Public,Gurgaon / Gurugram ,3,41,119,21900, 50k-1 Lakh ,110000,1300,54
Tech Mahindra,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,38,271,28500, 1 Lakh+ ,260000,2900,504
Teleperformance,BPO ,Forbes Global 2000,Gurgaon / Gurugram ,3,46,192,23500, 50k-1 Lakh ,86400,1500,270
Mphasis,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,26,53,7200, 10k-50k ,66100,641,0
LTIMindtree,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,27,56,8400, 50k-1 Lakh ,100000,1300,0
Wells Fargo,Financial Services ,Public,Hyderabad / Secunderabad ,4,172,21,5400, 10k-50k ,49000,438,382
DXC Technology,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,7,84,8500, 10k-50k ,79500,697,0
